No escape,Age-independant escape,Age-dependant escape
50,36.0,4.0
26,38.0,42.0
23,35.0,25.0
15,32.0,17.0
56,46.0,26.0
41,23.0,14.0
19,17.0,11.0
21,27.0,20.0
18,15.0,5.0
13,15.0,22.0
37,31.0,16.0
32,33.0,27.0
17,23.0,11.0
23,5.0,13.0
17,15.0,27.0
47,46.0,44.0
73,20.0,27.0
18,54.0,18.0
21,55.0,12.0
32,8.0,37.0
42,18.0,21.0
7,16.0,17.0
8,38.0,34.0
17,22.0,5.0
22,14.0,17.0
31,25.0,12.0
15,37.0,25.0
38,15.0,8.0
17,31.0,16.0
36,38.0,18.0
6,11.0,12.0
12,18.0,35.0
8,14.0,11.0
9,21.0,4.0
14,36.0,23.0
48,31.0,17.0
33,34.0,23.0
10,40.0,27.0
30,26.0,15.0
13,26.0,38.0
17,28.0,3.0
34,52.0,15.0
31,42.0,23.0
16,42.0,15.0
24,31.0,22.0
10,45.0,8.0
18,15.0,16.0
22,5.0,23.0
9,26.0,14.0
22,32.0,35.0
12,17.0,16.0
4,28.0,14.0
20,51.0,42.0
31,12.0,38.0
13,46.0,14.0
18,6.0,21.0
13,29.0,36.0
12,21.0,31.0
28,32.0,34.0
17,36.0,40.0
23,17.0,11.0
26,56.0,28.0
37,37.0,10.0
12,40.0,8.0
7,8.0,15.0
44,48.0,5.0
60,12.0,24.0
13,48.0,17.0
29,24.0,12.0
6,29.0,6.0
8,37.0,36.0
71,13.0,27.0
9,8.0,18.0
48,20.0,11.0
24,17.0,24.0
21,46.0,12.0
16,24.0,5.0
23,5.0,8.0
30,25.0,29.0
7,18.0,13.0
12,39.0,3.0
25,43.0,24.0
29,7.0,3.0
47,20.0,18.0
39,29.0,13.0
17,30.0,8.0
31,15.0,17.0
21,24.0,24.0
32,13.0,5.0
47,53.0,7.0
14,11.0,37.0
35,9.0,7.0
26,21.0,20.0
31,4.0,29.0
12,55.0,8.0
10,33.0,30.0
40,48.0,15.0
11,12.0,13.0
29,29.0,13.0
16,18.0,20.0
32,62.0,21.0
24,28.0,9.0
12,21.0,20.0
8,11.0,21.0
34,11.0,4.0
9,32.0,4.0
20,33.0,33.0
21,18.0,12.0
17,40.0,18.0
33,23.0,22.0
48,21.0,33.0
17,13.0,20.0
16,54.0,21.0
23,7.0,24.0
16,18.0,33.0
23,34.0,18.0
29,18.0,9.0
33,5.0,11.0
33,23.0,21.0
28,40.0,13.0
26,60.0,13.0
31,12.0,22.0
15,5.0,7.0
11,13.0,27.0
9,8.0,5.0
34,22.0,23.0
23,30.0,23.0
13,61.0,10.0
26,39.0,12.0
4,58.0,5.0
16,28.0,8.0
13,28.0,22.0
29,16.0,30.0
28,24.0,16.0
48,19.0,20.0
30,33.0,21.0
28,26.0,12.0
16,39.0,9.0
26,21.0,28.0
23,30.0,23.0
14,38.0,12.0
31,40.0,16.0
28,22.0,14.0
31,30.0,29.0
31,20.0,24.0
35,10.0,9.0
23,31.0,14.0
26,25.0,26.0
33,32.0,12.0
27,24.0,11.0
12,17.0,4.0
22,29.0,17.0
26,52.0,21.0
11,51.0,8.0
51,34.0,17.0
59,7.0,30.0
8,2.0,20.0
26,24.0,18.0
30,1.0,19.0
21,36.0,10.0
25,34.0,11.0
9,28.0,22.0
33,33.0,13.0
8,10.0,31.0
34,13.0,17.0
6,7.0,29.0
34,15.0,19.0
43,13.0,2.0
15,10.0,24.0
19,8.0,1.0
27,28.0,13.0
30,34.0,23.0
25,50.0,11.0
24,48.0,28.0
39,27.0,9.0
26,38.0,14.0
41,42.0,10.0
8,39.0,13.0
8,27.0,7.0
